name,ring,quadrant,isNew,description
Bootstrap,languages & frameworks,adopt,FALSE,
Chaos engineering,techniques,assess,TRUE,
Clickhouse,platforms & infrastructure,adopt,FALSE,
CloudFlare,platforms & infrastructure,adopt,FALSE,
Container-based builds,techniques,adopt,FALSE,
DevOps,techniques,adopt,FALSE,
Distributed Tracing,techniques,trial,FALSE,
Docker,platforms & infrastructure,adopt,FALSE,
Envoy,platforms & infrastructure,assess,TRUE,
Event streaming as the source of truth,techniques,assess,TRUE,
Everything as a Code,techniques,adopt,FALSE,
Gitlab,platforms & infrastructure,adopt,FALSE,
Golang,languages & frameworks,adopt,FALSE,
Golden signals,techniques,adopt,TRUE,
Grafana,platforms & infrastructure,adopt,FALSE,
gRPC,languages & frameworks,trial,TRUE,
Hashicorp Vault,platforms & infrastructure,trial,FALSE,
Hashicorp Consul,platforms & infrastructure,adopt,FALSE,
Helm,platforms & infrastructure,trial,TRUE,
Infrastructure as code,techniques,adopt,FALSE,
Istio,platforms & infrastructure,assess,FALSE,
Jaeger,platforms & infrastructure,hold,FALSE,
Javascript,languages & frameworks,hold,FALSE,
Jira,platforms & infrastructure,hold,FALSE,
JSON-RPC,techniques,adopt,FALSE,
Kafka,platforms & infrastructure,trial,FALSE,
Kubernetes,platforms & infrastructure,adopt,FALSE,
Kubernetes Operators,platforms & infrastructure,trial,TRUE,
Laravel,languages & frameworks,hold,FALSE,
Lean development,techniques,adopt,FALSE,
Lua,languages & frameworks,hold,FALSE,
MockServer,platforms & infrastructure,adopt,FALSE,
MySQL,platforms & infrastructure,hold,FALSE,
nginx,platforms & infrastructure,adopt,FALSE,
Node.js,languages & frameworks,adopt,FALSE,
Nomad,platforms & infrastructure,assess,FALSE
Offline builds,techniques,adopt,FALSE,
OpenAPI / RAML,languages & frameworks,adopt,FALSE,
OpenTracing,languages & frameworks,adopt,FALSE,
ORM,techniques,hold,FALSE,
PEP-20 ,techniques,adopt,FALSE,
PHP,languages & frameworks,hold,FALSE,
PostgreSQL,platforms & infrastructure,adopt,FALSE,
Prometheus,platforms & infrastructure,adopt,FALSE,
Python,languages & frameworks,hold,FALSE,
QAOps,techniques,trial,TRUE,
REST,techniques,hold,FALSE,
DevSecOps,techniques,assess,TRUE,
Selenium,platforms & infrastructure,adopt,FALSE,
Service mesh,techniques,assess,FALSE,
SphinxSearch,platforms & infrastructure,adopt,FALSE,
Static code analysis,techniques,adopt,FALSE,
Symfony,languages & frameworks,hold,FALSE,
Bots,platforms & infrastructure,adopt,FALSE,
Traefik,platforms & infrastructure,adopt,TRUE,
TypeScript,languages & frameworks,adopt,FALSE,
Zero legacy,techniques,trial,FALSE,
Bake,languages & frameworks,adopt,FALSE,
Fuzz testing,techniques,adopt,FALSE,
Mutation testing,techniques,adopt,FALSE,
